Family,Instance,Alg-1,Duration-1,Alg-2,Duration-2,Alg-3,Duration-3,Alg-4,Duration-4
circuit-trace,circuit-trace-ctrl.wcnf,9,0.002,16,113.761,19,1.321,19,114.069
circuit-trace,circuit-trace-mrisc_mem2wire.wcnf,10,0.018,1,1800.41,19,76.334,0,1800.38
circuit-trace,circuit-trace-spi.wcnf,20,0.007,17,1800.09,49,43.825,30,1800.14
circuit-trace,circuit-trace-sudoku.wcnf,7,0.063,0,1801.4,12,1899.06,0,1800.77
aes,aes-mul_8_11.wcnf,7495,0.001,14555,431.23,14971,35.559,15000,522.161
aes,aes-mul_8_13.wcnf,7756,0,14917,462.987,15264,30.831,15298,541.932
aes,aes-mul_8_14.wcnf,6946,0.001,13953,399.496,14251,25.159,14293,464.791
aes,aes-mul_8_3.wcnf,2486,0,4859,30.033,5015,10.354,5009,35.095
aes,aes-mul_8_9.wcnf,4006,0.001,7574,120.671,7809,16.764,7811,160.935
aes,aes-sbox_4.wcnf,78,0,112,0.692,123,0.025,135,0.684
aes,aes-sbox_8.wcnf,68004,0.007,136253,1801.63,68236,1807.13,136253,1801.74
maxclique,maxclique-brock200_2.clq.wcnf,103,0,1,0.59,103,0.22,1,0.777
maxclique,maxclique-brock800_2.clq.wcnf,417,0,4,6.384,427,2.688,4,6.423
maxclique,maxclique-c-fat500-5.clq.wcnf,246,0,1,4.404,243,2.284,1,4.27
maxclique,maxclique-hamming10-2.clq.wcnf,515,0,1,4.663,512,0.852,512,3.492
maxclique,maxclique-hamming8-4.clq.wcnf,109,0,1,1.012,113,0.59,1,0.729
maxclique,maxclique-johnson8-4-4.clq.wcnf,36,0,1,0.191,36,0.018,1,0.244
maxclique,maxclique-MANN_a45.clq.wcnf,547,0,330,4.386,516,0.089,330,4.159
maxclique,maxclique-p_hat1000-1.clq.wcnf,498,0,2,21.855,513,8.314,2,21.135
maxclique,maxclique-p_hat1000-2.clq.wcnf,457,0,2,16.603,487,6.113,2,17.127
maxclique,maxclique-san400_0.7_1.clq.wcnf,207,0,4,1.471,203,0.604,4,2.397
aes-key-recovery,aes-key-recovery-AES1-72-28.wcnf,110,0.001,158,540.16,207,222.901,207,528.677
aes-key-recovery,aes-key-recovery-AES1-74-33.wcnf,87,0.001,150,522.909,186,222.951,186,528.49
aes-key-recovery,aes-key-recovery-AES1-74-34.wcnf,92,0.001,128,523.303,179,229.012,179,576.966
aes-key-recovery,aes-key-recovery-AES1-74-35.wcnf,95,0.003,159,595.517,191,209.436,191,586.231
aes-key-recovery,aes-key-recovery-AES1-76-36.wcnf,83,0.001,115,540.994,163,208.565,163,497.502
aes-key-recovery,aes-key-recovery-AES2-30-44.wcnf,199,0.002,330,524.87,409,112.387,407,589.565
aes-key-recovery,aes-key-recovery-AES2-30-45.wcnf,203,0.002,330,565.321,408,109.666,407,597.49
aes-key-recovery,aes-key-recovery-AES2-40-46.wcnf,203,0.002,330,593.227,409,105.585,407,587.429
aes-key-recovery,aes-key-recovery-AES2-40-47.wcnf,195,0.001,330,534.967,407,135.303,407,469.873
aes-key-recovery,aes-key-recovery-AES2-50-51.wcnf,191,0.001,302,472.872,360,234.365,360,431.861
aes-key-recovery,aes-key-recovery-AES2-50-52.wcnf,166,0.001,274,508.695,342,274.423,342,575.319
aes-key-recovery,aes-key-recovery-AES2-60-56.wcnf,136,0.003,197,579.192,261,213.764,261,604.156
aes-key-recovery,aes-key-recovery-AES2-60-57.wcnf,137,0.003,230,601.503,284,226.88,284,587.874
aes-key-recovery,aes-key-recovery-AES2-60-58.wcnf,123,0.002,209,590.893,260,225.335,261,569.507
aes-key-recovery,aes-key-recovery-AES2-60-59.wcnf,140,0.003,246,589.336,295,231.204,295,582.739
aes-key-recovery,aes-key-recovery-AES2-70-63.wcnf,107,0.002,175,487.105,216,214.683,216,492.343
aes-key-recovery,aes-key-recovery-AES2-70-65.wcnf,114,0.001,147,488.124,207,220.225,207,552.457
aes-key-recovery,aes-key-recovery-AES2-72-70.wcnf,93,0.001,155,555.792,201,231.294,202,539.177
aes-key-recovery,aes-key-recovery-AES2-74-11.wcnf,91,0.003,130,524.155,189,233.31,189,533.211
aes-key-recovery,aes-key-recovery-AES2-74-72.wcnf,87,0.003,135,529.998,184,266.175,185,499.704
bcp-fir,bcp-fir-normalized-f20c10b_001_area_delay.wcnf,2765,0.002,5270,63.915,5488,2.331,5511,61.59
bcp-fir,bcp-fir-normalized-f20c10b_003_area_delay.wcnf,1778,0.001,3325,35.038,3530,1.366,3555,34.94
bcp-fir,bcp-fir-normalized-f20c10b_004_area_delay.wcnf,1437,0.001,2575,25.584,2793,0.849,2810,26.763
bcp-fir,bcp-fir-normalized-f20c10b_006_area_delay.wcnf,756,0.001,1348,12.819,1493,0.35,1496,13.118
bcp-fir,bcp-fir-normalized-f20c10b_007_area_delay.wcnf,2755,0.001,5292,65.444,5506,2.653,5523,61.633
bcp-fir,bcp-fir-normalized-f20c10b_008_area_delay.wcnf,945,0.001,1701,17.991,1892,0.833,1902,18.256
bcp-fir,bcp-fir-normalized-f20c10b_009_area_delay.wcnf,1485,0.001,2789,31.538,2958,1.397,2972,30.138
bcp-fir,bcp-fir-normalized-f20c10b_010_area_delay.wcnf,2873,0.002,5493,69.472,5731,2.665,5747,62.244
bcp-fir,bcp-fir-normalized-f20c10b_011_area_delay.wcnf,3201,0.002,6241,81.027,6487,3.35,6498,81.24
bcp-fir,bcp-fir-normalized-f20c10b_013_area_delay.wcnf,5001,0.002,9739,250.584,10073,14.505,10083,227.313
bcp-fir,bcp-fir-normalized-f20c10b_014_area_delay.wcnf,1286,0.001,2288,27.348,2505,0.867,2524,27.937
bcp-fir,bcp-fir-normalized-f20c10b_016_area_delay.wcnf,2559,0.002,4812,61.765,5056,1.886,5063,62.015
bcp-fir,bcp-fir-normalized-f20c10b_022_area_delay.wcnf,1899,0.001,3624,45.824,3858,1.158,3877,44.929
bcp-fir,bcp-fir-normalized-f20c10b_025_area_delay.wcnf,3980,0.002,7628,182.437,7946,8.976,7963,182.27
bcp-fir,bcp-fir-normalized-fir06_area_delay.wcnf,1330,0.001,2424,28.631,2632,1.148,2637,28.452
bcp-fir,bcp-fir-normalized-fir07_area_delay.wcnf,3079,0.001,5882,83.572,6080,3.715,6084,82.66
bcp-fir,bcp-fir-normalized-fir08_area_delay.wcnf,30798,0.008,60882,1800.27,61529,37.613,61547,1800.26
bcp-fir,bcp-fir-normalized-fir08_area_opers.wcnf,50904,0.012,99263,1800.26,101193,1303.3,101243,1800.22
bcp-fir,bcp-fir-normalized-fir08_area_partials.wcnf,907,0.005,1403,540.736,1774,10.331,1777,566.961
bcp-fir,bcp-fir-normalized-fir09_area_delay.wcnf,3222,0.002,6250,93.748,6470,3.965,6476,93.149
